content_id,date,platform,topic,format,hook,caption_style,video_length_sec,impressions,followers_before,likes,comments,shares,saves,retention_rate,followers_gained,engagement_rate_pct,save_to_share_ratio,viral_coefficient,viral_score,viral_label
C01622,2026-01-01,YouTube,College Life,Short,Visual,Confession,25,33580,182745,1014,76,104,93,0.542,47,3.833,0.894,3.3323,0.05676402620607505,Non-Viral
C04691,2026-01-01,Instagram,Self-Doubt,Long,Text,Question,71,162480,33050,4283,559,279,615,0.574,336,3.53,2.204,3.1062,0.05982429837518464,Non-Viral
C03191,2026-01-01,Instagram,Family Pressure,Short,Text,Question,26,163921,168130,6798,847,1520,1136,0.573,307,6.284,0.747,7.0165,0.06432686049987493,Non-Viral
C04111,2026-01-01,YouTube,Social Anxiety,Long,Visual,List,15,78345,136683,1996,303,493,406,0.506,146,4.082,0.824,4.7782,0.05556649435190504,Non-Viral
C03674,2026-01-01,Instagram,Friendship,Short,Text,List,48,108505,75209,2632,239,632,248,0.483,231,3.457,0.392,3.7478,0.05193715957789964,Non-Viral
C02259,2026-01-01,Instagram,Family Pressure,Short,Visual,Question,34,133997,102250,5598,764,354,985,0.484,351,5.747,2.782,5.2068,0.05264934886601939,Non-Viral
C01409,2026-01-01,Instagram,College Life,Short,Text,Confession,22,127655,26730,6261,179,621,199,0.52,270,5.687,0.32,4.4338,0.05486710273784811,Non-Viral
C02316,2026-01-01,Instagram,Friendship,Short,Text,Advice,27,82429,121223,2835,120,191,88,0.393,147,3.923,0.461,2.8467,0.040881360928799335,Non-Viral
C01482,2026-01-01,Instagram,Social Anxiety,Short,Text,List,20,62488,216412,6628,267,737,854,0.634,120,13.58,1.159,12.2159,0.07344832927922161,Viral
C01996,2026-01-01,Instagram,College Life,Long,Visual,Confession,36,102470,132378,5646,714,474,335,0.386,246,6.996,0.707,5.8417,0.04270754367131844,Non-Viral
C01739,2026-01-01,Instagram,Career Stress,Short,Text,Advice,17,123274,233568,3236,231,245,227,0.484,102,3.195,0.927,2.5581,0.05012785826695004,Non-Viral
C04627,2026-01-01,Instagram,Burnout,Long,Text,Confession,19,128456,17539,4739,145,807,454,0.463,200,4.784,0.563,4.6055,0.05035664196300679,Non-Viral
C01949,2026-01-01,Instagram,Dating,Short,Visual,Confession,31,141992,58152,18349,2088,2879,1136,0.702,527,17.221,0.395,16.3499,0.08392999887317595,Viral
C02442,2026-01-01,Instagram,Family Pressure,Short,Visual,Question,34,174764,47894,11177,1902,1344,1012,0.52,694,8.832,0.753,8.2955,0.0588303540774988,Non-Viral
C01488,2026-01-01,Instagram,Career Stress,Long,Text,Question,58,6966,184935,241,13,30,25,0.44,5,4.436,0.833,4.0195,0.04729457364341086,Non-Viral
C01913,2026-01-01,YouTube,Career Stress,Long,Visual,Story,20,20039,189370,1254,129,94,155,0.35,55,8.144,1.649,7.0488,0.04039697589700084,Non-Viral
