comment_id,content_id,comment_text,created_at,nlp_label
CM000001,C03839,I thought I was the only one dealing with this.,2026-06-17 12:00:00,Relatable
CM000002,C04076,This is exactly what I needed to hear today.,2026-01-20 05:00:00,Relatable
CM000003,C03889,What app did you use to make this?,2026-01-13 16:00:00,Neutral
CM000004,C01045,You described my situation perfectly.,2026-05-12 05:00:00,Relatable
CM000005,C04587,The editing is clean.,2026-07-13 21:00:00,Neutral
CM000006,C03010,"This is so relatable, thank you for saying it.",2026-04-14 23:00:00,Relatable
CM000007,C00911,I thought I was the only one dealing with this.,2026-03-07 11:00:00,Relatable
CM000008,C02200,This is painfully accurate but helpful.,2026-08-12 19:00:00,Neutral
CM000009,C00133,Good point.,2026-03-04 16:00:00,Neutral
CM000010,C03060,Needed this reminder today.,2026-06-24 08:00:00,Relatable
CM000011,C01342,This made me feel understood.,2026-02-04 16:00:00,Relatable
CM000012,C01880,I don't agree with this.,2026-06-17 09:00:00,Neutral
CM000013,C01443,This is exactly what I needed to hear today.,2026-04-22 02:00:00,Relatable
CM000014,C01113,Good point.,2026-08-08 00:00:00,Neutral
CM000015,C03341,You described my situation perfectly.,2026-05-19 12:00:00,Relatable
CM000016,C03333,You described my situation perfectly.,2026-03-01 23:00:00,Relatable
CM000017,C03776,This topic is worth discussing.,2026-05-03 14:00:00,Neutral
CM000018,C04034,Thanks for sharing.,2026-07-03 10:00:00,Neutral
CM000019,C01107,This is exactly what I needed to hear today.,2026-04-09 22:00:00,Relatable
CM000020,C03143,This is painfully accurate but helpful.,2026-07-29 15:00:00,Neutral
CM000021,C03347,The editing is clean.,2026-07-25 08:00:00,Neutral
CM000022,C03961,This is painfully accurate but helpful.,2026-08-29 06:00:00,Neutral
CM000023,C00892,Where can I find more information?,2026-05-07 22:00:00,Neutral
CM000024,C04697,You described my situation perfectly.,2026-04-14 20:00:00,Relatable
CM000025,C03524,I have been struggling with the same thing for months.,2026-03-25 16:00:00,Relatable
CM000026,C01069,This advice did not help me.,2026-06-11 04:00:00,Neutral
CM000027,C03667,I saved this because it explains how I feel.,2026-05-11 22:00:00,Relatable
CM000028,C04587,This is exactly what I needed to hear today.,2026-02-15 14:00:00,Relatable
CM000029,C00229,I had not thought about it this way.,2026-08-11 08:00:00,Neutral
CM000030,C04604,This made me feel understood.,2026-05-16 07:00:00,Relatable
CM000031,C04160,Not sure this applies to everyone.,2026-04-14 16:00:00,Neutral
CM000032,C02942,I saved this because it explains how I feel.,2026-04-18 20:00:00,Relatable
CM000033,C02707,"This is so relatable, thank you for saying it.",2026-03-16 20:00:00,Relatable
CM000034,C04670,The editing is clean.,2026-02-03 08:00:00,Neutral
CM000035,C03869,How long is the full video?,2026-01-18 08:00:00,Neutral
CM000036,C01390,I thought I was the only one dealing with this.,2026-08-11 03:00:00,Relatable
CM000037,C00748,I thought I was the only one dealing with this.,2026-07-01 07:00:00,Relatable
CM000038,C00125,This made me feel understood.,2026-08-07 07:00:00,Relatable
CM000039,C00358,I thought I was the only one dealing with this.,2026-06-20 09:00:00,Relatable
CM000040,C02585,Finally someone put this feeling into words.,2026-08-21 00:00:00,Relatable
CM000041,C00117,How long is the full video?,2026-08-06 23:00:00,Neutral
CM000042,C00583,Thanks for sharing.,2026-02-13 14:00:00,Neutral
CM000043,C02027,What app did you use to make this?,2026-05-05 16:00:00,Neutral
CM000044,C03908,This is exactly what I needed to hear today.,2026-01-05 13:00:00,Relatable
CM000045,C03057,Nice explanation.,2026-01-04 08:00:00,Neutral
CM000046,C00291,This is painfully accurate but helpful.,2026-06-29 18:00:00,Neutral
CM000047,C00740,Good point.,2026-04-26 08:00:00,Neutral
CM000048,C02018,This made me feel understood.,2026-03-07 12:00:00,Relatable
CM000049,C04570,Good point.,2026-04-21 11:00:00,Neutral
CM000050,C01220,This is painfully accurate but helpful.,2026-06-02 04:00:00,Neutral
CM000051,C02074,What app did you use to make this?,2026-07-18 11:00:00,Neutral
CM000052,C00664,Needed this reminder today.,2026-05-10 04:00:00,Relatable
CM000053,C04883,How long is the full video?,2026-05-01 03:00:00,Neutral
CM000054,C02576,Needed this reminder today.,2026-05-20 23:00:00,Relatable
CM000055,C00388,You described my situation perfectly.,2026-02-04 02:00:00,Relatable
CM000056,C02047,Good point.,2026-05-01 01:00:00,Neutral
CM000057,C04639,Interesting perspective.,2026-03-14 21:00:00,Neutral
CM000058,C01290,The editing is clean.,2026-01-03 11:00:00,Neutral
CM000059,C02639,I saved this because it explains how I feel.,2026-06-17 00:00:00,Relatable
CM000060,C04769,Good point.,2026-03-06 16:00:00,Neutral
CM000061,C02456,The editing is clean.,2026-06-07 17:00:00,Neutral
CM000062,C00461,I thought I was the only one dealing with this.,2026-08-12 04:00:00,Relatable
CM000063,C01235,This made me feel understood.,2026-01-04 00:00:00,Relatable
CM000064,C00557,I saved this because it explains how I feel.,2026-04-13 07:00:00,Relatable
CM000065,C02673,Nice explanation.,2026-03-11 13:00:00,Neutral
CM000066,C01962,Finally someone put this feeling into words.,2026-03-18 16:00:00,Relatable
