comment_id,content_id,comment_text,created_at
CM000001,C03839,I thought I was the only one dealing with this.,2026-06-17 12:00:00
CM000002,C04076,This is exactly what I needed to hear today.,2026-01-20 05:00:00
CM000003,C03889,What app did you use to make this?,2026-01-13 16:00:00
CM000004,C01045,You described my situation perfectly.,2026-05-12 05:00:00
CM000005,C04587,The editing is clean.,2026-07-13 21:00:00
CM000006,C03010,"This is so relatable, thank you for saying it.",2026-04-14 23:00:00
CM000007,C00911,I thought I was the only one dealing with this.,2026-03-07 11:00:00
CM000008,C02200,This is painfully accurate but helpful.,2026-08-12 19:00:00
CM000009,C00133,Good point.,2026-03-04 16:00:00
CM000010,C03060,Needed this reminder today.,2026-06-24 08:00:00
CM000011,C01342,This made me feel understood.,2026-02-04 16:00:00
CM000012,C01880,I don't agree with this.,2026-06-17 09:00:00
CM000013,C01443,This is exactly what I needed to hear today.,2026-04-22 02:00:00
CM000014,C01113,Good point.,2026-08-08 00:00:00
CM000015,C03341,You described my situation perfectly.,2026-05-19 12:00:00
CM000016,C03333,You described my situation perfectly.,2026-03-01 23:00:00
CM000017,C03776,This topic is worth discussing.,2026-05-03 14:00:00
CM000018,C04034,Thanks for sharing.,2026-07-03 10:00:00
CM000019,C01107,This is exactly what I needed to hear today.,2026-04-09 22:00:00
CM000020,C03143,This is painfully accurate but helpful.,2026-07-29 15:00:00
CM000021,C03347,The editing is clean.,2026-07-25 08:00:00
CM000022,C03961,This is painfully accurate but helpful.,2026-08-29 06:00:00
CM000023,C00892,Where can I find more information?,2026-05-07 22:00:00
CM000024,C04697,You described my situation perfectly.,2026-04-14 20:00:00
CM000025,C03524,I have been struggling with the same thing for months.,2026-03-25 16:00:00
CM000026,C01069,This advice did not help me.,2026-06-11 04:00:00
CM000027,C03667,I saved this because it explains how I feel.,2026-05-11 22:00:00
CM000028,C04587,This is exactly what I needed to hear today.,2026-02-15 14:00:00
CM000029,C00229,I had not thought about it this way.,2026-08-11 08:00:00
CM000030,C04604,This made me feel understood.,2026-05-16 07:00:00
CM000031,C04160,Not sure this applies to everyone.,2026-04-14 16:00:00
CM000032,C02942,I saved this because it explains how I feel.,2026-04-18 20:00:00
CM000033,C02707,"This is so relatable, thank you for saying it.",2026-03-16 20:00:00
CM000034,C04670,The editing is clean.,2026-02-03 08:00:00
CM000035,C03869,How long is the full video?,2026-01-18 08:00:00
CM000036,C01390,I thought I was the only one dealing with this.,2026-08-11 03:00:00
CM000037,C00748,I thought I was the only one dealing with this.,2026-07-01 07:00:00
CM000038,C00125,This made me feel understood.,2026-08-07 07:00:00
CM000039,C00358,I thought I was the only one dealing with this.,2026-06-20 09:00:00
CM000040,C02585,Finally someone put this feeling into words.,2026-08-21 00:00:00
CM000041,C00117,How long is the full video?,2026-08-06 23:00:00
CM000042,C00583,Thanks for sharing.,2026-02-13 14:00:00
CM000043,C02027,What app did you use to make this?,2026-05-05 16:00:00
CM000044,C03908,This is exactly what I needed to hear today.,2026-01-05 13:00:00
CM000045,C03057,Nice explanation.,2026-01-04 08:00:00
CM000046,C00291,This is painfully accurate but helpful.,2026-06-29 18:00:00
CM000047,C00740,Good point.,2026-04-26 08:00:00
CM000048,C02018,This made me feel understood.,2026-03-07 12:00:00
CM000049,C04570,Good point.,2026-04-21 11:00:00
CM000050,C01220,This is painfully accurate but helpful.,2026-06-02 04:00:00
CM000051,C02074,What app did you use to make this?,2026-07-18 11:00:00
CM000052,C00664,Needed this reminder today.,2026-05-10 04:00:00
CM000053,C04883,How long is the full video?,2026-05-01 03:00:00
CM000054,C02576,Needed this reminder today.,2026-05-20 23:00:00
CM000055,C00388,You described my situation perfectly.,2026-02-04 02:00:00
CM000056,C02047,Good point.,2026-05-01 01:00:00
CM000057,C04639,Interesting perspective.,2026-03-14 21:00:00
CM000058,C01290,The editing is clean.,2026-01-03 11:00:00
CM000059,C02639,I saved this because it explains how I feel.,2026-06-17 00:00:00
CM000060,C04769,Good point.,2026-03-06 16:00:00
CM000061,C02456,The editing is clean.,2026-06-07 17:00:00
CM000062,C00461,I thought I was the only one dealing with this.,2026-08-12 04:00:00
CM000063,C01235,This made me feel understood.,2026-01-04 00:00:00
CM000064,C00557,I saved this because it explains how I feel.,2026-04-13 07:00:00
CM000065,C02673,Nice explanation.,2026-03-11 13:00:00
CM000066,C01962,Finally someone put this feeling into words.,2026-03-18 16:00:00
CM000067,C04613,"This is so relatable, thank you for saying it.",2026-08-25 05:00:00
CM000068,C00050,How long is the full video?,2026-01-06 18:00:00
CM000069,C03609,How long is the full video?,2026-05-18 01:00:00
CM000070,C02803,You described my situation perfectly.,2026-03-31 20:00:00
CM000071,C03198,What app did you use to make this?,2026-01-23 03:00:00
CM000072,C02232,Good point.,2026-02-23 18:00:00
CM000073,C03536,Needed this reminder today.,2026-02-09 18:00:00
CM000074,C00693,This feels too generalized.,2026-05-07 01:00:00
CM000075,C02620,This topic is worth discussing.,2026-02-19 22:00:00
CM000076,C02547,You described my situation perfectly.,2026-06-17 14:00:00
CM000077,C00173,"This is so relatable, thank you for saying it.",2026-02-12 13:00:00
CM000078,C02031,I have been struggling with the same thing for months.,2026-01-15 20:00:00
CM000079,C02022,This made me feel understood.,2026-06-24 22:00:00
CM000080,C03558,What app did you use to make this?,2026-06-22 07:00:00
CM000081,C02971,This is painfully accurate but helpful.,2026-02-27 03:00:00
CM000082,C00241,You described my situation perfectly.,2026-01-06 11:00:00
CM000083,C02048,How long is the full video?,2026-04-10 04:00:00
CM000084,C00659,Interesting perspective.,2026-06-15 11:00:00
CM000085,C04673,This feels too generalized.,2026-01-15 20:00:00
CM000086,C03054,This is exactly what I needed to hear today.,2026-02-07 10:00:00
CM000087,C00343,Finally someone put this feeling into words.,2026-05-23 13:00:00
CM000088,C02192,Where can I find more information?,2026-03-26 06:00:00
CM000089,C01191,I saved this because it explains how I feel.,2026-08-04 10:00:00
CM000090,C00051,I thought I was the only one dealing with this.,2026-01-30 17:00:00
CM000091,C01966,You described my situation perfectly.,2026-06-29 05:00:00
CM000092,C03222,This advice did not help me.,2026-05-15 04:00:00
CM000093,C02116,How long is the full video?,2026-03-08 05:00:00
CM000094,C00413,You described my situation perfectly.,2026-07-11 15:00:00
CM000095,C01063,Nice explanation.,2026-02-27 23:00:00
CM000096,C02032,Where can I find more information?,2026-05-16 15:00:00
CM000097,C00491,I found this confusing.,2026-04-20 03:00:00
CM000098,C02165,I had not thought about it this way.,2026-08-07 14:00:00
CM000099,C01010,Not sure this applies to everyone.,2026-01-27 04:00:00
CM000100,C02063,I had not thought about it this way.,2026-01-08 17:00:00
CM000101,C04135,The editing is clean.,2026-06-05 03:00:00
CM000102,C03552,This is painfully accurate but helpful.,2026-03-28 11:00:00
CM000103,C03084,This advice did not help me.,2026-08-28 10:00:00
CM000104,C04383,I saved this because it explains how I feel.,2026-04-02 21:00:00
CM000105,C03228,Thanks for sharing.,2026-04-24 00:00:00
CM000106,C03176,This made me feel understood.,2026-03-19 05:00:00
CM000107,C03510,Needed this reminder today.,2026-05-12 18:00:00
CM000108,C03822,This made me feel understood.,2026-04-12 21:00:00
CM000109,C04301,Finally someone put this feeling into words.,2026-01-13 10:00:00
CM000110,C02994,The editing is clean.,2026-05-19 08:00:00
CM000111,C02678,"This is so relatable, thank you for saying it.",2026-04-23 21:00:00
CM000112,C01302,This topic is worth discussing.,2026-02-16 22:00:00
CM000113,C02809,I found this confusing.,2026-04-19 18:00:00
CM000114,C02188,Good point.,2026-02-18 12:00:00
CM000115,C00096,Interesting perspective.,2026-01-18 15:00:00
CM000116,C02781,Good point.,2026-02-04 07:00:00
CM000117,C04973,"This is so relatable, thank you for saying it.",2026-07-10 13:00:00
CM000118,C04364,"This is so relatable, thank you for saying it.",2026-03-13 23:00:00
CM000119,C01269,Where can I find more information?,2026-04-26 20:00:00
CM000120,C02356,Needed this reminder today.,2026-06-06 03:00:00
CM000121,C04178,I thought I was the only one dealing with this.,2026-05-29 00:00:00
CM000122,C00939,This made me feel understood.,2026-05-05 13:00:00
CM000123,C00477,Where can I find more information?,2026-03-15 11:00:00
CM000124,C01589,Needed this reminder today.,2026-03-11 12:00:00
CM000125,C04142,Nice explanation.,2026-04-17 21:00:00
CM000126,C04216,This is painfully accurate but helpful.,2026-08-21 07:00:00
CM000127,C03084,What app did you use to make this?,2026-04-04 06:00:00
CM000128,C04921,This is painfully accurate but helpful.,2026-06-03 08:00:00
CM000129,C02444,Interesting perspective.,2026-03-19 10:00:00
CM000130,C02761,Good point.,2026-03-07 06:00:00
CM000131,C01148,This is painfully accurate but helpful.,2026-06-04 20:00:00
CM000132,C02404,I saved this because it explains how I feel.,2026-01-12 03:00:00
CM000133,C00657,How long is the full video?,2026-03-15 10:00:00
CM000134,C01396,I don't agree with this.,2026-02-26 22:00:00
CM000135,C04877,I saved this because it explains how I feel.,2026-02-01 06:00:00
CM000136,C02988,Where can I find more information?,2026-04-29 02:00:00
CM000137,C02829,"This is so relatable, thank you for saying it.",2026-02-17 13:00:00
